rgn_id,year,usd
1,2003,1.23711E+11
2,2003,20858333018
3,2003,2.27E+10
4,2003,4.30755E+11
5,2003,55493229643
6,2003,1.68297E+11
7,2003,631705788.8
8,2003,91728762.83
9,2003,3247643.698
10,2003,4691363072
11,2003,226535346.2
1,2004,1.41763E+11
2,2004,23902096886
3,2004,2.41E+10
4,2004,4.93613E+11
5,2004,63591110100
6,2004,1.92856E+11
7,2004,723887808.1
8,2004,105114333.7
9,2004,3721557.914
10,2004,5375952842
11,2004,259592642.8
1,2005,1.61985E+11
2,2005,27311561444
3,2005,"25,272,000,000.00"
4,2005,5.64024E+11
5,2005,72661930837
6,2005,2.20366E+11
7,2005,827145268.6
8,2005,120108147.7
9,2005,4252411.749
10,2005,6142794378
11,2005,296621691.7
1,2006,1.8268E+11
2,2006,30800906345
3,2006,"26,378,000,000.00"
4,2006,6.36084E+11
5,2006,81945271828
6,2006,2.4852E+11
7,2006,932821948.1
8,2006,135453251.7
9,2006,4795702.959
10,2006,6927602244
11,2006,334518294.2
1,2007,2.03463E+11
2,2007,34304945761
3,2007,"27,869,000,000.00"
4,2007,7.08447E+11
5,2007,91267707317
6,2007,2.76793E+11
7,2007,1038943659
8,2007,150862977.9
9,2007,5341282.105
10,2007,7715715134
11,2007,372574488.9
1,2008,2.14694E+11
2,2008,36198610950
3,2008,"28,422,000,000.00"
4,2008,7.47554E+11
5,2008,96305770384
6,2008,2.92072E+11
7,2008,1096294323
8,2008,159190755.8
9,2008,5636125.889
10,2008,8141629848
11,2008,393140950.2
1,2009,1.91105E+11
2,2009,32221456354
3,2009,"28,825,000,000.00"
4,2009,6.6542E+11
5,2009,85724620245
6,2009,2.59982E+11
7,2009,975844066.1
8,2009,141700409.4
9,2009,5016882.68
10,2009,7247106005
11,2009,349946410.5
1,2010,2.25318E+11
2,2010,37989896327
3,2010,"30,082,000,000.00"
4,2010,7.84547E+11
5,2010,1.01071E+11
6,2010,3.06525E+11
7,2010,1150544361
8,2010,167068297.7
9,2010,5915029.129
10,2010,8544517752
11,2010,412595498.8
1,2011,2.48036E+11
2,2011,41820346674
3,2011,"31,291,000,000.00"
4,2011,8.63651E+11
5,2011,1.11262E+11
6,2011,3.37431E+11
7,2011,1266551601
8,2011,183913482.4
9,2011,6511430.477
10,2011,9406045530
11,2011,454196732.9
3,2012,"31,543,000,000.00"
