rgn_id,year,percent
1,2003,7.58498717
2,2003,7.58498717
3,2003,10.2
4,2003,7.58498717
5,2003,7.58498717
6,2003,7.58498717
7,2003,7.58498717
8,2003,7.58498717
9,2003,7.58498717
10,2003,7.58498717
11,2003,7.58498717
1,2004,7.18987356
2,2004,9.7
3,2004,7.18987356
4,2004,7.18987356
5,2004,7.18987356
6,2004,7.18987356
7,2004,7.18987356
8,2004,7.18987356
9,2004,7.18987356
10,2004,7.18987356
11,2004,7.18987356
1,2005,6.76315424
2,2005,6.76315424
3,2005,9.7
4,2005,6.76315424
5,2005,6.76315424
6,2005,6.76315424
7,2005,6.76315424
8,2005,6.76315424
9,2005,6.76315424
10,2005,6.76315424
11,2005,6.76315424
1,2006,6.28730601
2,2006,6.28730601
3,2006,8.7
4,2006,6.28730601
5,2006,6.28730601
6,2006,6.28730601
7,2006,6.28730601
8,2006,6.28730601
9,2006,6.28730601
10,2006,6.28730601
11,2006,6.28730601
1,2007,6.00533832
2,2007,6.00533832
3,2007,7.6
4,2007,6.00533832
5,2007,6.00533832
6,2007,6.00533832
7,2007,6.00533832
8,2007,6.00533832
9,2007,6.00533832
10,2007,6.00533832
11,2007,6.00533832
1,2008,6.13251493
2,2008,6.13251493
3,2008,8.5
4,2008,6.13251493
5,2008,6.13251493
6,2008,6.13251493
7,2008,6.13251493
8,2008,6.13251493
9,2008,6.13251493
10,2008,6.13251493
11,2008,6.13251493
1,2009,8.25970273
2,2009,8.25970273
3,2009,8.8
4,2009,8.25970273
5,2009,8.25970273
6,2009,8.25970273
7,2009,8.25970273
8,2009,8.25970273
9,2009,8.25970273
10,2009,8.25970273
11,2009,8.25970273
1,2010,7.126013326
2,2010,7.126013326
3,2010,9.3
4,2010,7.126013326
5,2010,7.126013326
6,2010,7.126013326
7,2010,7.126013326
8,2010,7.126013326
9,2010,7.126013326
10,2010,7.126013326
11,2010,7.126013326
3,2011,9.5
3,2012,10.3
3,2013,10.4
