rgn_id,year,jobs
1,2003,2478029.25
2,2003,417809.784
3,2003,320543.1111
4,2003,8628382.327
5,2003,1111575.612
6,2003,3371136.636
7,2003,12653.59312
8,2003,1837.403524
9,2003,65.05300833
10,2003,93971.90993
11,2003,4537.691672
1,2004,2512224.821
2,2004,423575.3511
3,2004,325585.3704
4,2004,8747449.711
5,2004,1126914.802
6,2004,3417656.645
7,2004,12828.20641
8,2004,1862.758778
9,2004,65.95070749
10,2004,95268.67553
11,2004,4600.30956
1,2005,2531172.11
2,2005,426769.9716
3,2005,323487.7778
4,2005,8813423.29
5,2005,1135414.034
6,2005,3443432.734
7,2005,12924.9572
8,2005,1876.807771
9,2005,66.44811008
10,2005,95987.19529
11,2005,4635.005259
1,2006,2561061.613
2,2006,431809.5112
3,2006,326418.3704
4,2006,8917497.143
5,2006,1148821.641
6,2006,3484094.722
7,2006,13077.58236
8,2006,1898.970172
9,2006,67.2327667
10,2006,97120.66602
11,2006,4689.738005
1,2007,2617193.961
2,2007,441273.7434
3,2007,332733.6296
4,2007,9112947.363
5,2007,1174001.065
6,2007,3560457.749
7,2007,13364.2117
8,2007,1940.591059
9,2007,68.70634822
10,2007,99249.31885
11,2007,4792.525852
1,2008,2664421.275
2,2008,449236.5363
3,2008,335701.6296
4,2008,9277390.668
5,2008,1195185.936
6,2008,3624706.276
7,2008,13605.36915
8,2008,1975.60906
9,2008,69.94615556
10,2008,101040.2747
11,2008,4879.00707
1,2009,2683899.822
2,2009,452520.7298
3,2009,334756.5926
4,2009,9345214.061
5,2009,1203923.475
6,2009,3651205.093
7,2009,13704.83271
8,2009,1990.051969
9,2009,70.45750468
10,2009,101778.9408
11,2009,4914.675592
1,2010,2712393.743
2,2010,457324.9665
3,2010,334157.1852
4,2010,9444428.566
5,2010,1216705.063
6,2010,3689968.518
7,2010,13850.33159
8,2010,2011.179578
9,2010,71.20552462
10,2010,102859.4882
11,2010,4966.852792
1,2011,2735266.169
2,2011,461181.3873
3,2011,327624.2963
4,2011,9524069.289
5,2011,1226965.003
6,2011,3721084.404
7,2011,13967.12536
8,2011,2028.138973
9,2011,71.80596957
10,2011,103726.8572
11,2011,5008.736083
1,2012,2763337.473
2,2012,465914.3682
3,2012,328310.5556
4,2012,9621812.258
5,2012,1239557.016
6,2012,3759272.895
7,2012,14110.46622
8,2012,2048.953219
9,2012,72.54289498
10,2012,104791.3781
11,2012,5060.139398
3,2013,327002.5926
