rgn_id,species_code,year,tonnes
4,95,2003,2026.95
8,95,2003,224.41
3,95,2003,33100.00
5,95,2003,3490.71
11,95,2003,3044.83
1,95,2003,974.30
10,95,2003,19057.03
7,95,2003,493.46
2,95,2003,215.37
6,95,2003,4574.27
9,95,2003,83.21
4,95,2004,2053.35
8,95,2004,227.33
3,95,2004,35000.00
5,95,2004,3536.17
11,95,2004,3084.49
1,95,2004,986.99
10,95,2004,19305.24
7,95,2004,499.89
2,95,2004,218.18
6,95,2004,4633.84
9,95,2004,84.30
4,95,2005,2053.35
8,95,2005,227.33
3,95,2005,35000.00
5,95,2005,41000.00
11,95,2005,39000.00
1,95,2005,26000.00
10,95,2005,24000.00
7,95,2005,25625.00
2,95,2005,21560.00
6,95,2005,30217.00
9,95,2005,84.30
4,95,2006,2808.98
8,95,2006,310.98
3,95,2006,41000.00
5,95,2006,39000.00
11,95,2006,26000.00
1,95,2006,24000.00
10,95,2006,25625.00
7,95,2006,21560.00
2,95,2006,30217.00
6,95,2006,6339.10
9,95,2006,115.32
4,95,2007,1848.66
8,95,2007,204.67
3,95,2007,39000.00
5,95,2007,3183.66
11,95,2007,2777.01
1,95,2007,888.60
10,95,2007,17380.78
7,95,2007,450.06
2,95,2007,196.43
6,95,2007,4171.92
9,95,2007,75.89
4,95,2008,1807.53
8,95,2008,200.11
3,95,2008,26000.00
5,95,2008,3112.84
11,95,2008,2715.23
1,95,2008,868.84
10,95,2008,16994.13
7,95,2008,440.04
2,95,2008,192.06
6,95,2008,4079.11
9,95,2008,74.20
4,95,2009,1850.95
8,95,2009,204.92
3,95,2009,24000.00
5,95,2009,3187.60
11,95,2009,2780.45
1,95,2009,889.70
10,95,2009,17402.30
7,95,2009,450.61
2,95,2009,196.67
6,95,2009,4177.08
9,95,2009,75.99
4,95,2010,1794.33
8,95,2010,198.65
3,95,2010,25625.00
5,95,2010,3090.11
11,95,2010,2695.40
1,95,2010,862.49
10,95,2010,16870.02
7,95,2010,436.83
2,95,2010,190.66
6,95,2010,4049.32
9,95,2010,73.66
4,95,2011,1594.81
8,95,2011,176.56
3,95,2011,21560.00
5,95,2011,2746.49
11,95,2011,2395.68
1,95,2011,766.58
10,95,2011,14994.10
7,95,2011,388.26
2,95,2011,169.46
6,95,2011,3599.04
9,95,2011,65.47
4,95,2012,2119.05
8,95,2012,234.60
3,95,2012,30217.00
5,95,2012,3649.33
11,95,2012,3183.19
1,95,2012,1018.58
10,95,2012,19923.01
7,95,2012,515.89
2,95,2012,225.16
6,95,2012,4782.13
9,95,2012,86.99
